Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"40.7831, -73.9712","01/01/2018",-13.8,-7.8,-10.7,-19.9,47.74,,11.4,31.3,298.58,-21.3,0.0,0.0,0.35,9.9,0.2,1027.6,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/02/2018",-10.9,-3.3,-7.5,-15.7,52.23,,15.0,27.1,269.54,-18.1,0.0,0.0,0.0,9.9,4.1,1028.0,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/03/2018",-8.4,-1.6,-5.0,-16.1,42.0,,10.0,23.0,186.88,-14.9,0.0,0.0,1.88,9.9,4.8,1024.1,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/04/2018",-6.1,-1.7,-4.1,-9.8,67.11,,30.0,43.5,235.75,-13.9,19.27,62.5,12.38,5.4,70.5,999.6,"Blowing Or Drifting Snow, Heavy Snow, Light Snow, Mist, Fog, Smoke Or Haze, Snow",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain, Partially cloudy"
"40.7831, -73.9712","01/05/2018",-12.8,-7.1,-10.5,-20.7,43.4,,24.7,34.2,286.67,-22.2,0.6,45.83,18.0,9.9,9.3,1009.1,"Blowing Or Drifting Snow, Light Snow",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain"
"40.7831, -73.9712","01/06/2018",-13.8,-11.1,-12.5,-23.1,41.29,,16.2,31.7,292.46,-22.5,0.01,8.33,16.01,9.9,1.4,1023.2,"Blowing Or Drifting Snow",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain"
"40.7831, -73.9712","01/07/2018",-15.0,-7.8,-11.5,-20.5,47.8,,11.5,27.7,269.92,-22.9,0.0,0.0,15.0,9.9,16.1,1032.7,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/08/2018",-8.3,-0.6,-4.1,-11.5,57.06,,11.5,21.9,241.96,-14.2,0.49,20.83,13.67,9.8,75.1,1022.0,"Ice, Light Snow, Rain, Light Rain And Snow, Light Rain, Light Freezing Rain",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain, Overcast"
"40.7831, -73.9712","01/09/2018",-0.7,6.2,2.6,-5.5,56.62,,19.6,31.3,292.0,-5.5,0.0,0.0,12.99,9.4,15.1,1021.2,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/10/2018",-1.2,5.0,2.1,-5.0,59.57,,8.1,,169.79,-4.4,0.0,0.0,10.98,9.9,26.0,1030.8,"Smoke Or Haze",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Partially cloudy"
"40.7831, -73.9712","01/11/2018",5.6,11.6,7.9,4.0,76.75,,9.1,21.9,123.67,3.6,0.0,0.0,8.64,8.5,76.4,1027.2,"Mist, Smoke Or Haze",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Overcast"
"40.7831, -73.9712","01/12/2018",6.6,16.1,13.1,12.3,95.1,,17.3,31.1,156.21,5.2,12.79,58.33,2.66,5.1,100.0,1011.8,"Mist, Light Drizzle, Rain, Fog, Light Rain",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain, Overcast"
"40.7831, -73.9712","01/13/2018",-6.6,13.8,2.5,-3.0,68.28,,15.1,31.9,262.79,-13.3,2.34,25.0,0.0,8.9,48.0,1010.2,"Mist, Light Snow, Light Rain",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain, Partially cloudy"
"40.7831, -73.9712","01/14/2018",-9.3,-4.4,-7.4,-18.0,43.66,,12.8,24.2,193.38,-16.3,0.0,0.0,0.0,9.9,0.3,1035.4,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/15/2018",-8.8,-1.2,-5.2,-11.6,60.88,,11.4,25.3,54.04,-16.1,0.0,0.0,0.0,9.6,33.1,1036.1,"Light Snow",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Partially cloudy"
"40.7831, -73.9712","01/16/2018",-3.9,1.6,-0.7,-4.4,76.46,,5.8,,56.63,-7.1,0.0,0.0,0.0,9.9,95.0,1031.1,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Overcast"
"40.7831, -73.9712","01/17/2018",-5.0,2.2,-0.2,-3.0,82.0,,11.5,24.2,246.5,-11.2,4.75,45.83,0.0,6.3,90.9,1023.5,"Mist, Light Snow, Light Rain And Snow, Light Rain",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain, Overcast"
"40.7831, -73.9712","01/18/2018",-7.1,0.0,-3.7,-12.6,51.03,,11.5,26.8,293.71,-13.2,0.0,0.0,1.0,9.9,3.8,1017.0,"Light Snow",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/19/2018",-3.9,5.0,0.2,-9.6,48.04,,11.4,23.0,260.38,-8.1,0.0,0.0,1.0,9.9,0.5,1016.5,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/20/2018",3.3,11.2,6.8,-4.9,43.25,,17.3,29.5,259.54,0.0,0.0,0.0,0.33,9.9,0.6,1012.8,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/21/2018",6.1,10.1,8.1,-1.4,51.41,,6.9,,238.13,3.8,0.0,0.0,0.0,9.9,31.6,1020.3,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Partially cloudy"
"40.7831, -73.9712","01/22/2018",3.3,10.0,6.3,3.1,80.54,,9.2,19.7,54.42,0.1,0.3,12.5,0.0,5.8,89.6,1020.7,"Drizzle, Mist, Fog, Light Rain, Smoke Or Haze",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain, Overcast"
"40.7831, -73.9712","01/23/2018",3.3,15.6,9.3,5.6,80.32,,19.6,32.0,189.33,0.7,7.44,41.67,0.0,6.0,70.6,1006.7,"Mist, Rain, Fog, Heavy Rain, Light Rain",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain, Partially cloudy"
"40.7831, -73.9712","01/24/2018",-2.1,6.7,3.6,-5.6,51.12,,12.8,28.9,288.33,-7.1,0.0,0.0,0.0,9.9,49.2,1013.5,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Partially cloudy"
"40.7831, -73.9712","01/25/2018",-5.0,1.2,-2.1,-15.3,38.07,,12.8,27.7,308.13,-10.1,0.0,0.0,0.0,9.9,5.6,1028.0,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/26/2018",-3.3,3.4,-0.3,-13.1,38.47,,9.6,16.2,210.83,-6.5,0.0,0.0,0.0,9.9,12.6,1037.6,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/27/2018",2.1,13.3,7.8,-0.4,57.26,,11.4,21.9,219.96,-0.2,0.0,0.0,0.0,9.9,3.0,1029.6,"Fog",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
"40.7831, -73.9712","01/28/2018",8.3,12.8,10.0,5.5,74.8,,9.2,23.0,230.33,7.2,5.51,45.83,0.0,8.9,83.4,1023.8,"Drizzle, Mist, Light Drizzle, Rain, Fog, Light Rain",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain, Overcast"
"40.7831, -73.9712","01/29/2018",2.9,8.3,5.4,-2.6,56.51,,20.7,27.7,51.58,-1.7,0.0,0.0,1.88,9.9,47.9,1020.9,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Partially cloudy"
"40.7831, -73.9712","01/30/2018",-3.8,2.2,-0.5,-4.9,73.52,,15.1,30.4,193.96,-8.9,2.97,37.5,3.0,6.1,89.1,1015.8,"Light Snow, Mist, Smoke Or Haze",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Rain, Overcast"
"40.7831, -73.9712","01/31/2018",-7.8,0.0,-3.4,-13.8,45.47,,13.9,26.7,272.33,-14.4,0.0,0.0,0.67,9.9,5.8,1021.8,"",40.7831,-73.9712,"40.7831, -73.9712","40.7831, -73.9712","","Clear"
